"sample_names" "type" "species" "nmds_1" "nmds_2" "nmds_3" "nmds_4"
"1" "bib_CHUNB56555" "known" "bib" -0.161899202002038 0.0769035083321117 0.0821894767358023 0.0274107047366255
"2" "bib_CHUNB56918" "known" "bib" -0.117156830806169 0.0756115796868583 0.108052909325894 -0.0997555876762074
"3" "bib_CHUNB57375" "known" "bib" -0.202308620927037 0.118966860448619 -0.0105909571502843 0.0439296314989546
"4" "bib_CHUNB57376" "known" "bib" -0.158181232912117 0.103331711504023 -0.0433513236505291 0.0385662904215806
"5" "bib_CHUNB57377" "known" "bib" -0.103546370354351 -0.051855927677274 0.0449802657845618 0.0998068397251663
"6" "bib_CHUNB57378" "known" "bib" -0.121748507277641 0.0454079791609229 -0.0574539873836119 -0.107739000263628
"7" "bib_CHUNB57379" "unknown" "bib" -0.0910339301881224 0.0254707847115116 -0.127940882373943 0.0175558795550207
"8" "bib_CHUNB64577" "known" "bib" -0.181987939667353 0.0944172040862507 -0.0774284733277568 0.0911899081010474
"9" "bib_CHUNB64578" "known" "bib" -0.0915046552163982 0.0751153973805241 0.0633049986031036 -0.047349774678146
"10" "bib_CHUNB64579" "known" "bib" -0.00450661016066977 -0.121487696320175 0.0222407064284492 -0.0382792819485493
"11" "bib_CHUNB64603" "known" "bib" -0.0696969278530928 -0.11245134332664 -0.0523936034308754 -0.0833199259895964
"12" "bib_CHUNB64604" "known" "bib" -0.0768942150477756 -0.0991561669681742 -0.147217498317572 -0.0449594660478506
"13" "bib_CHUNB64605" "known" "bib" -0.164689402000801 0.0638428207602619 0.050306347943849 0.0118626807209208
"14" "bib_CHUNB64606" "known" "bib" -0.0447347859619789 0.13563397396315 0.0435285322569027 -0.0617809809961222
"15" "bib_CHUNB64607" "known" "bib" -0.107101690282379 -0.0147512119255151 -0.0904138770827885 -0.0262746219726898
"16" "bib_CHUNB64608" "unknown" "bib" -0.153083314167284 -0.0520029470306976 -0.0984476013143846 0.00825271620014937
"17" "bib_CHUNB64609" "known" "bib" -0.107917119489763 -0.0063587383960344 0.0428127729834065 -0.0451723692674984
"18" "bib_CHUNB64610" "known" "bib" -0.0975642080596152 -0.157565538326985 -0.00837252963996851 0.0954069162016895
"19" "bib_MZUSP65628" "known" "bib" -0.0919935578059956 -0.121066818357593 0.124234055553329 -0.000992959789738414
"20" "bib_MZUSP66105" "known" "bib" -0.0918204679915613 -0.0508822276166504 0.0916567932552861 0.0740420112751654
"21" "bib_MZUSP78721" "known" "bib" -0.124323553596185 -0.0786272178246711 0.0550263974278867 -0.0414820560018505
"22" "bib_MZUSP87592" "known" "bib" -0.0651471250779019 -0.11451386075318 0.0767333192337583 0.00118002627295306
"23" "bil_MCNR445" "known" "bil" 0.175546047827026 0.0376674556590329 -0.00688924280250635 0.0844055193169548
"24" "bil_MCNR522" "known" "bil" 0.23663856510501 0.0779221073276764 0.0329870506007929 0.0310585934959636
"25" "bil_MCNR3156" "unknown" "bil" 0.198062771011767 0.04556463816339 -0.00852935402246525 0.0593934698266209
"26" "bil_MCNR3277" "known" "bil" 0.193838685736146 -0.0214781430908797 0.00863898572175102 0.0656593043450173
"27" "bil_MCNR3557" "known" "bil" 0.168461215362083 0.0389839832516388 -0.00932352672180481 0.0808286977849614
"28" "bil_MZUSP5366" "known" "bil" 0.210061084015686 0.0543462916620902 0.041603875843064 -0.00727542205801354
"29" "bil_MZUSP10410" "known" "bil" 0.0791982714096133 0.0180781354374222 -0.148396472410969 0.000273254133403928
"30" "bil_MZUSP29698" "known" "bil" 0.196986224520891 -0.110748313085565 -0.00566465608159465 0.0384910767285761
"31" "bil_MZUSP39522" "known" "bil" 0.216965809310841 -0.0865339349152921 0.0135605640524214 -0.0554321628059455
"32" "bil_MZUSP42778" "known" "bil" 0.177582464825133 0.0657567310890326 0.0185918399652069 -0.0128014163773051
"33" "bil_CHUNB36170" "unknown" "bil" 0.165343493530815 -0.00582842064166932 0.0153213063236847 -0.0370426172802671
"34" "bil_CHUNB36171" "known" "bil" 0.20692940254227 0.0287837726571643 -0.0190504971768752 -0.107678259472776
"35" "bil_CHUNB36172" "known" "bil" 0.203226231648948 0.0235035709753157 -0.024305715151221 -0.0519776177145876
