 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
bib_CHUNB56555	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB56918	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB57375	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB57376	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB57377	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB57378	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB64577	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB64578	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB64579	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB64603	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB64604	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB64605	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB64606	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB64607	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB64609	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_CHUNB64610	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_MZUSP65628	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_MZUSP66105	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
bib_MZUSP78721	0.95	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429	0.003571429
