"sample_names" "type" "species" "nmds_1" "nmds_2" "nmds_3" "nmds_4"
"1" "bib_CHUNB56555" "known" "bib" -0.161844103999363 0.0770070955671462 0.082239545684463 0.0273540013425232
"2" "bib_CHUNB56918" "known" "bib" -0.117159158981604 0.0752519662468845 0.107801264757592 -0.100421251676327
"3" "bib_CHUNB57375" "known" "bib" -0.202226146016328 0.119138789942064 -0.0103672143338012 0.043752724777691
"4" "bib_CHUNB57376" "known" "bib" -0.158158593991071 0.103363085660148 -0.0430717627342919 0.0388495954282141
"5" "bib_CHUNB57377" "known" "bib" -0.1036306186224 -0.0518124811861314 0.0448728470695537 0.0998603570894352
"6" "bib_CHUNB57378" "known" "bib" -0.121852582544584 0.0459756762547797 -0.0581398872182329 -0.10686509081037
"7" "bib_CHUNB57379" "unknown" "bib" -0.0910161680640159 0.0254250531942827 -0.127956078858151 0.0180537719326303
"8" "bib_CHUNB64577" "known" "bib" -0.181965488049702 0.0946172518494055 -0.0772700202624749 0.0912154992249766
"9" "bib_CHUNB64578" "known" "bib" -0.0915710201183543 0.0748663982463376 0.0632271356380949 -0.0479341563971653
"10" "bib_CHUNB64579" "known" "bib" -0.00456936406136531 -0.12124000316273 0.0227837258543962 -0.0394198243239179
"11" "bib_CHUNB64603" "known" "bib" -0.0697650503765096 -0.112391867549744 -0.0522315590016856 -0.0835625756851786
"12" "bib_CHUNB64604" "known" "bib" -0.0768696765572371 -0.0992692226438513 -0.147122092420233 -0.0453918445046239
"13" "bib_CHUNB64605" "known" "bib" -0.164729330738462 0.0637927904712357 0.0505040934742081 0.0116156480806595
"14" "bib_CHUNB64606" "known" "bib" -0.0447603615452865 0.135540855784026 0.0437921212155761 -0.0619475724643456
"15" "bib_CHUNB64607" "known" "bib" -0.107088054321134 -0.0147900153343481 -0.0905787304494527 -0.0258089951815716
"16" "bib_CHUNB64608" "unknown" "bib" -0.153081339698616 -0.05210860131603 -0.0984485950324801 0.00836793966355655
"17" "bib_CHUNB64609" "known" "bib" -0.107982832325001 -0.0064894311276485 0.0427530537802276 -0.0452895502065741
"18" "bib_CHUNB64610" "known" "bib" -0.0974943862635528 -0.157676259070555 -0.00853207716288769 0.0952984566382232
"19" "bib_MZUSP65628" "known" "bib" -0.0919682752572103 -0.121117588767116 0.124214776090642 -0.000801558044216902
"20" "bib_MZUSP66105" "known" "bib" -0.091917456026051 -0.0509015674907011 0.0914735673416921 0.0741458393671431
"21" "bib_MZUSP78721" "known" "bib" -0.124312137631934 -0.0786734524557645 0.0550101372894389 -0.041463581502072
"22" "bib_MZUSP87592" "known" "bib" -0.0651761148006559 -0.114546746503601 0.0765443918197158 0.00226959357873874
"23" "bil_MCNR445" "known" "bil" 0.175581614795893 0.0376172866835185 -0.00685632601777922 0.0843551889154716
"24" "bil_MCNR522" "known" "bil" 0.236569635539424 0.0779520467330844 0.0333218409806382 0.0311514550147917
"25" "bil_MCNR3156" "unknown" "bil" 0.198071848410542 0.0454354809843793 -0.00788002744806613 0.0595999395347793
"26" "bil_MCNR3277" "known" "bil" 0.193843610810463 -0.0214519621365008 0.00899233103602533 0.0656323402307404
"27" "bil_MCNR3557" "known" "bil" 0.168484817246901 0.0389165992847797 -0.00904363112610701 0.0808485367472034
"28" "bil_MZUSP5366" "known" "bil" 0.209996637327039 0.054354637610717 0.0417044264757456 -0.00733998202386764
"29" "bil_MZUSP10410" "known" "bil" 0.0792937829682266 0.0180049706992422 -0.148472410251323 0.000251160175590343
"30" "bil_MZUSP29698" "known" "bil" 0.197000854894553 -0.110789456851962 -0.00605753175090889 0.0383743400911272
"31" "bil_MZUSP39522" "known" "bil" 0.216985649860958 -0.0866004248218096 0.0134832512321928 -0.0554525567770833
"32" "bil_MZUSP42778" "known" "bil" 0.177676298409846 0.0660422494141458 0.0171819242203932 -0.0128801659782806
"33" "bil_CHUNB36170" "unknown" "bil" 0.165376837320121 -0.00575134152534159 0.0154910506896248 -0.0370557309946775
"34" "bil_CHUNB36171" "known" "bil" 0.206965055695037 0.0288474830064561 -0.0190582693008303 -0.107556843804161
"35" "bil_CHUNB36172" "known" "bil" 0.203291616711436 0.0234607043112006 -0.0243052712815153 -0.0518051074590629
