"sample_names" "type" "species" "nmds_1" "nmds_2" "nmds_3" "nmds_4"
"1" "bib_CHUNB56555" "known" "bib" -0.161916695999427 0.0768498003364861 -0.0822752911985011 -0.0274174815441802
"2" "bib_CHUNB56918" "known" "bib" -0.117151324992561 0.0756744399230854 -0.108139388941481 0.0995880202421393
"3" "bib_CHUNB57375" "known" "bib" -0.202257877613672 0.118913316740331 0.0105817325435686 -0.0439583524428672
"4" "bib_CHUNB57376" "known" "bib" -0.158197265561849 0.103316331130481 0.0433429303637193 -0.0385379952931325
"5" "bib_CHUNB57377" "known" "bib" -0.103581621953631 -0.0518997396170945 -0.0449069843223506 -0.0998590328128376
"6" "bib_CHUNB57378" "known" "bib" -0.121778650100218 0.045366807085017 0.057381220711103 0.107791479399522
"7" "bib_CHUNB57379" "unknown" "bib" -0.091024729055299 0.0255211748973915 0.127955985607048 -0.0174434993676361
"8" "bib_CHUNB64577" "known" "bib" -0.181991637439984 0.0944147990880509 0.0774893348962165 -0.0911747290708656
"9" "bib_CHUNB64578" "known" "bib" -0.091470819842735 0.0750790413745328 -0.0634343816964498 0.0473511214866341
"10" "bib_CHUNB64579" "known" "bib" -0.00450003679647161 -0.121485816041975 -0.0221662848438698 0.0382582310464313
"11" "bib_CHUNB64603" "known" "bib" -0.0696793787525118 -0.112418670087963 0.0523759234950806 0.0833250684785116
"12" "bib_CHUNB64604" "known" "bib" -0.0769045956138028 -0.0991248714102316 0.147201266248787 0.0450094143330582
"13" "bib_CHUNB64605" "known" "bib" -0.164679123901335 0.0639324218580204 -0.0502809243599221 -0.011983178364156
"14" "bib_CHUNB64606" "known" "bib" -0.0447329698661433 0.13568259193039 -0.0433112105369478 0.0617886735303349
"15" "bib_CHUNB64607" "known" "bib" -0.1071105351459 -0.0147317699459765 0.0903752140458617 0.026254597823738
"16" "bib_CHUNB64608" "unknown" "bib" -0.153117200104232 -0.0519217865670815 0.0984606471211198 -0.00814027296301419
"17" "bib_CHUNB64609" "known" "bib" -0.107874866012299 -0.00635323615645998 -0.0427864596550726 0.0451802012092958
"18" "bib_CHUNB64610" "known" "bib" -0.0976062276336459 -0.157560666885127 0.00845380601161837 -0.0954234700268515
"19" "bib_MZUSP65628" "known" "bib" -0.0920255471455191 -0.121088399995196 -0.124194950091012 0.000975256078518273
"20" "bib_MZUSP66105" "known" "bib" -0.0917727555785476 -0.0508707997904237 -0.0917390005133895 -0.0740359281348552
"21" "bib_MZUSP78721" "known" "bib" -0.124328311942094 -0.0786197299266517 -0.0550730512968752 0.0415093834109852
"22" "bib_MZUSP87592" "known" "bib" -0.0651794784369262 -0.114572484741069 -0.0765768844295492 -0.00122252025782368
"23" "bil_MCNR445" "known" "bil" 0.175529803354419 0.0376604136505857 0.00696064176812322 -0.0844075212362604
"24" "bil_MCNR522" "known" "bil" 0.236628281313926 0.0779424472292399 -0.032637083071509 -0.0311168889975935
"25" "bil_MCNR3156" "unknown" "bil" 0.198082686456841 0.045681392685456 0.00918929057687147 -0.0591745161299199
"26" "bil_MCNR3277" "known" "bil" 0.193841124813668 -0.0214855528522984 -0.00825914745983828 -0.0656931307587999
"27" "bil_MCNR3557" "known" "bil" 0.168454533844153 0.0390726980551942 0.00963829465929949 -0.0807406467265367
"28" "bil_MZUSP5366" "known" "bil" 0.210231322133165 0.0544582255485201 -0.0414460375240208 0.0070885929095866
"29" "bil_MZUSP10410" "known" "bil" 0.0791801682639065 0.0180544885502226 0.148338474084161 -0.000136121480699762
"30" "bil_MZUSP29698" "known" "bil" 0.196989440939171 -0.110831823457991 0.00511902294617772 -0.0384717954161779
"31" "bil_MZUSP39522" "known" "bil" 0.217044025811846 -0.0865152814700257 -0.0135294714714635 0.0554465848208375
"32" "bil_MZUSP42778" "known" "bil" 0.177525787561726 0.0651340265930481 -0.0207363192394999 0.0127771573516769
"33" "bil_CHUNB36170" "unknown" "bil" 0.165323160687884 -0.00589103194598598 -0.0150355349006373 0.0370770776964432
"34" "bil_CHUNB36171" "known" "bil" 0.20688357794453 0.0289203347860674 0.0192204082627774 0.107581616876541
"35" "bil_CHUNB36172" "known" "bil" 0.203167736363567 0.0236969094294291 0.0244442122108565 0.0519346043299541
